ID,Name,Address,Phone,WeChat,Email,Profession,Birth,Risk,hasDDL,Deadline,Treatment
1,Barry Simpson,"Monroe Pass, 3974",5-687-831-7354,IgAeXQZvLw,Barry_Simpson1075@extex.org,4,11/15/2002,2,FALSE,5/5/2022,0
2,Shay Mcleod,"Bury  Drive, 4661",5-817-366-2388,dpilctRMaT,Shay_Mcleod9647@sveldo.biz,3,8/18/2003,2,FALSE,12/18/2022,1
3,Susan Howard,"Biggerstaff   Boulevard, 8688",7-877-845-6863,JJhJp0rKC4,Susan_Howard7339@elnee.tech,0,1/1/1970,2,TRUE,8/28/2022,2
4,Phoebe Khan,"Calshot   Grove, 1096",6-000-776-8178,QBR7Gdtw6e,Phoebe_Khan1968@brety.org,1,6/5/1983,2,FALSE,8/31/2022,0
5,Erick Reese,"West Vale, 1992",2-111-614-6348,ahemiXywAm,Erick_Reese9228@ovock.tech,2,9/28/1989,2,TRUE,7/30/2022,0
6,Bryon Mcgee,"Clere  Route, 385",3-444-708-6363,4lKjXNytSM,Bryon_Mcgee5566@nimogy.biz,1,10/4/1976,2,FALSE,9/17/2022,1
7,Tony Reading,"Bolton  Way, 3009",4-242-644-3021,K2H0xwNT6N,Tony_Reading148@bulaffy.com,1,8/3/1978,1,TRUE,12/6/2022,0
8,Helen Chadwick,"Thorndike   Avenue, 6702",3-485-137-2873,PKpEfWYFC7,Helen_Chadwick6209@zorer.org,4,9/27/1989,1,FALSE,11/7/2022,1
9,Mavis Nicolas,"Buttonwood Drive, 7638",7-186-054-4325,nVcrvjWMvb,Mavis_Nicolas4228@ovock.tech,0,1/26/1973,0,TRUE,8/13/2022,0
10,Emerald Flynn,"Biggerstaff   Avenue, 7302",7-300-218-2871,rINUYO6mEH,Emerald_Flynn257@elnee.tech,0,12/23/2013,0,FALSE,5/22/2022,2
11,Gabriel Russel,"Blackall   Rue, 9109",0-252-167-1074,tiZmz8COv5,Gabriel_Russel9803@yahoo.com,0,6/1/2006,0,FALSE,5/13/2022,0
12,Denis Weatcroft,"Chicksand  Lane, 1181",6-003-337-4700,So49BPjmT3,Denis_Weatcroft2053@zorer.org,4,3/31/2011,1,FALSE,8/2/2022,1
13,Kirsten Beal,"Cobden  Hill, 3448",8-372-266-3605,1emNdKTlP2,Kirsten_Beal9757@twace.org,0,2/7/2006,2,FALSE,5/15/2022,0
14,Adeline Franks,"Cockspur  Grove, 333",4-112-143-4856,oCUdANuiEj,Adeline_Franks1534@womeona.net,4,2/7/2021,0,TRUE,5/23/2022,2
15,Lauren Yarwood,"Edwin   Lane, 1767",7-651-335-5722,nEXcTlfUKn,Lauren_Yarwood1611@nanoff.biz,1,10/13/1997,1,TRUE,6/7/2022,1
16,Manuel Morris,"Cato   Street, 5760",3-138-344-4041,WfuhogbpOl,Manuel_Morris834@sveldo.biz,0,12/28/1977,0,FALSE,11/16/2022,2
17,Tyson Oakley,"Elizabeth  Crossroad, 737",6-230-577-0752,Dp98WGU0ao,Tyson_Oakley7543@gmail.com,3,6/4/2003,0,TRUE,12/4/2022,2
18,Sloane Haines,"Maple Grove, 3530",0-674-265-2632,aUaZ752cvt,Sloane_Haines1237@dionrab.com,5,6/5/2007,1,TRUE,10/6/2022,0
19,Tom Sheldon,"Thomas Doyle   Street, 8803",1-785-740-1153,yhqm5nIwSR,Tom_Sheldon5509@typill.biz,0,8/12/2007,0,FALSE,5/18/2022,1
20,Tom Tailor,"Camelot   Lane, 2473",8-288-275-1742,tF4lp725k4,Tom_Tailor1730@sveldo.biz,4,8/4/1995,0,TRUE,11/7/2022,1
21,Nancy Greenwood,"Fairholt   Walk, 8874",5-385-128-6878,PfUUwNLaAq,Nancy_Greenwood6055@famism.biz,1,6/6/2005,1,FALSE,5/4/2022,1
