ID,Name,Address,Phone,WeChat,Email,Profession,Birth,Risk,hasDDL,Deadline,Treatment
1,Elijah Barrett,"Battersea   Boulevard, 8250",2-420-870-0785,FYwuJPcFBv,Elijah_Barrett750@atink.com,2,11/21/1985,0,TRUE,5/19/2022,0
2,Jayden Watson,"Castile  Rue, 7191",4-605-343-3508,o9TDMV0uaq,Jayden_Watson140@fuliss.net,2,12/24/2017,0,TRUE,12/20/2022,1
3,William Richardson,"Elba  Drive, 8025",1-730-438-2148,WwNCbsonq9,William_Richardson1892@bretoux.com,0,10/16/1973,2,FALSE,6/5/2022,0
4,Liam Rossi,"Chambers  Lane, 4878",6-204-458-5312,Y7Ty9fS7Pk,Liam_Rossi3126@cispeto.com,0,9/13/1989,2,TRUE,11/21/2022,0
5,Jenna Eastwood,"Commercial  Way, 4790",2-225-667-4123,TCn3cu2KUE,Jenna_Eastwood1023@vetan.org,1,4/24/1985,1,FALSE,11/16/2022,2
6,Nate Utterson,"Blackall   Grove, 6318",3-866-746-1248,RkQZMnHUHG,Nate_Utterson9760@atink.com,0,3/11/1993,2,FALSE,8/15/2022,0
7,Gloria Woodley,"Queen Route, 7650",8-448-141-3066,4iSgb0oQJ5,Gloria_Woodley1179@elnee.tech,4,2/1/1971,1,TRUE,11/10/2022,0
8,Harry Overson,"Birkbeck  Lane, 9095",4-148-742-1042,vmO0wE04As,Harry_Overson1014@sveldo.biz,5,2/5/2020,0,FALSE,5/3/2022,1
9,Sydney Gardner,"Bolton  Crossroad, 4882",7-507-001-4644,kS5MWEu83V,Sydney_Gardner2983@sveldo.biz,0,8/25/1994,1,TRUE,6/9/2022,2
10,Gina Cox,"Chartham  Rue, 9290",7-625-333-6126,2f8Ifh7Xc8,Gina_Cox8725@bungar.biz,4,11/21/1984,2,TRUE,7/15/2022,2
11,Owen Benson,"Andsell    Rue, 411",2-201-320-8264,F1N77vpUdz,Owen_Benson4697@famism.biz,0,11/28/1970,2,FALSE,8/30/2022,0
12,Tess Dubois,"Spruce Street, 9982",7-550-518-7007,VJMNxODMhd,Tess_Dubois6272@dionrab.com,5,12/10/1979,0,TRUE,6/11/2022,0
13,Barry Lane,"Calvin   Grove, 8033",8-837-518-0134,sgqgNhy1JZ,Barry_Lane4544@hourpy.biz,5,1/19/2019,1,FALSE,12/10/2022,1
14,Vera Walsh,"Cam  Vale, 373",4-635-744-6736,EIPYbIe1xP,Vera_Walsh855@cispeto.com,0,5/12/1995,0,TRUE,12/18/2022,1
15,Ron Glass,"Clavell   Alley, 4920",2-101-270-3813,wYVwcNQIiW,Ron_Glass4055@deavo.com,5,10/22/1993,1,FALSE,7/31/2022,1
16,Barney Pierce,"Collins  Walk, 6357",1-617-517-2014,xFfH3bNs5b,Barney_Pierce7763@bauros.biz,1,10/9/2012,2,TRUE,8/4/2022,2
17,Ron Coates,"College  Vale, 2862",4-024-257-8255,1m1LW60CLz,Ron_Coates8529@corti.com,2,5/29/2009,0,TRUE,9/27/2022,0
18,Chadwick Woodcock,"Blenkarne  Road, 2500",5-362-042-5206,ay7cql7uoO,Chadwick_Woodcock2533@hourpy.biz,5,2/24/1970,1,FALSE,11/29/2022,2
19,Domenic Spencer,"Bales  Boulevard, 2285",3-620-617-0866,geWAWk7N8s,Domenic_Spencer451@twace.org,3,5/6/1980,1,FALSE,9/23/2022,1
20,Clint Cobb,"Cecilia  Alley, 8207",2-626-031-4627,HCUfTkyzqk,Clint_Cobb7539@deavo.com,6,11/23/1975,0,FALSE,8/2/2022,1
21,Janelle Shaw,"Apothecary   Route, 8585",7-121-242-2008,K9XOg9Uooc,Janelle_Shaw2179@elnee.tech,1,1/24/2014,1,TRUE,8/29/2022,1
22,Russel Young,"Queen Way, 6366",0-480-527-4110,dsuYmr9TPP,Russel_Young6624@nimogy.biz,3,7/11/1996,1,FALSE,5/7/2022,2
23,Noah Collis,"Meadow Rue, 6200",1-644-404-5526,gQYYb1ch3c,Noah_Collis7797@extex.org,2,6/4/1977,0,TRUE,7/29/2022,0
24,Marjorie Poulton,"Bazely   Road, 4962",1-042-041-2500,wzxJauGT3N,Marjorie_Poulton8213@irrepsy.com,0,1/15/2016,1,FALSE,7/4/2022,0
25,Paige Jackson,"Calderwood   Boulevard, 6326",3-400-454-4456,F4IRWnXYlS,Paige_Jackson5968@ovock.tech,5,7/13/2013,0,FALSE,5/27/2022,1
26,Boris Kennedy,"Coleman  Way, 2966",8-606-016-2636,6TtVzgTQCO,Boris_Kennedy7135@elnee.tech,5,11/15/1995,2,TRUE,9/24/2022,2
27,Christy Robinson,"Westcott  Rue, 6493",6-006-016-0351,bGjDMRRPV0,Christy_Robinson5048@iatim.tech,1,7/26/2009,0,TRUE,7/4/2022,0
28,Shay Bayliss,"Linda   Pass, 3215",0-270-211-1042,R7TxLbw7jA,Shay_Bayliss5136@infotech44.tech,4,8/1/1989,0,FALSE,9/2/2022,1
29,Caleb Noon,"Ampton  Lane, 6036",2-815-483-2716,4uITeWRobV,Caleb_Noon6908@extex.org,1,12/30/2020,2,FALSE,9/11/2022,0
30,Rosalie Denton,"Western   Vale, 3831",4-450-157-3571,W5cPl8BksS,Rosalie_Denton3327@acrit.org,3,12/31/2002,2,TRUE,6/9/2022,1
31,Candace Rust,"Blackpool  Road, 3814",8-231-018-3060,SxZFLHGZPi,Candace_Rust4360@mafthy.com,2,7/5/2005,1,TRUE,9/19/2022,0
32,Rosalie Preston,"Clerkenwell Grove, 4398",8-521-171-6166,4huydpEb38,Rosalie_Preston2505@zorer.org,4,9/22/1974,1,FALSE,7/6/2022,2
33,Tom Murphy,"Argyle  Vale, 8201",0-447-554-2333,0victtjGLk,Tom_Murphy5609@sveldo.biz,0,7/29/1993,1,TRUE,7/18/2022,0
34,Jamie Stone,"Bishop   Alley, 4297",4-812-631-0441,jS6OdXVWyZ,Jamie_Stone9126@naiker.biz,3,9/15/1970,2,TRUE,12/21/2022,0
35,Rae Jenkin,"Amwell    Grove, 280",6-108-668-8331,bqPBmMrPif,Rae_Jenkin9905@joiniaa.com,3,12/14/1999,0,TRUE,6/2/2022,0
36,Zara Coll,"Howard Crossroad, 2671",1-862-748-2503,ok4gstiXIq,Zara_Coll3350@deavo.com,5,5/7/1982,0,FALSE,11/8/2022,2
37,Harry Little,"Pine Rue, 493",4-782-248-8734,RcrkyMAFR7,Harry_Little6406@twace.org,6,3/13/1983,1,TRUE,8/23/2022,0
38,Josh Devonport,"Norland  Grove, 7534",5-546-248-1353,O8XF3pH9Qq,Josh_Devonport3448@corti.com,6,6/1/2018,0,TRUE,8/21/2022,1
39,Chadwick Rogan,"Walnut Way, 7573",0-517-426-4262,OcMESGmyZF,Chadwick_Rogan7803@famism.biz,4,12/26/1977,2,FALSE,11/7/2022,1
40,William Hepburn,"Geary   Route, 6951",1-873-422-2232,ekNpTlds1g,William_Hepburn447@sheye.org,3,2/16/2018,0,TRUE,6/4/2022,2
41,Maxwell Clayton,"Bedford  Tunnel, 9220",3-333-426-2573,p3gKHHWdfe,Maxwell_Clayton452@twipet.com,1,12/2/1980,2,FALSE,8/13/2022,0
42,Rylee Sylvester,"Camdenhurst   Road, 6319",2-451-545-6810,gJtaVFHKrB,Rylee_Sylvester2187@bretoux.com,0,8/8/1991,0,TRUE,8/16/2022,2
43,Deborah James,"Lexington Way, 7412",1-447-387-4310,iMWlDIhxIC,Deborah_James4867@nickia.com,6,7/2/2005,1,TRUE,12/18/2022,2
44,Chris Rose,"Norland  Pass, 5148",5-868-874-8218,0Rerq2jKDq,Chris_Rose5063@fuliss.net,6,8/25/1979,2,TRUE,7/26/2022,1
45,David Yates,"Ely  Drive, 7944",7-202-406-8675,HSozI4tt3y,David_Yates7596@sveldo.biz,0,1/25/2013,2,FALSE,12/15/2022,2
46,Taylor Brown,"Tilson  Hill, 877",3-000-423-1331,ABF8CK5eME,Taylor_Brown7063@extex.org,0,11/21/2016,1,TRUE,10/16/2022,0
47,Mya Oliver,"Railroad Way, 5921",7-755-380-4312,gMUBnF4GAr,Mya_Oliver4653@sheye.org,0,2/23/2005,1,TRUE,7/19/2022,1
48,Barry Owens,"Bury  Pass, 9744",3-041-110-7585,x9m3YGj7bG,Barry_Owens7179@infotech44.tech,0,2/27/2016,2,FALSE,8/30/2022,0
49,Carol Emmett,"Charterhouse  Walk, 5117",8-865-540-5080,jYQ1pEXTB4,Carol_Emmett7375@zorer.org,5,5/7/1992,0,TRUE,8/20/2022,0
50,Chester Adams,"Gate   Avenue, 3568",0-520-683-8285,iPxlMF6Lt5,Chester_Adams2145@muall.tech,5,1/31/1995,2,TRUE,10/21/2022,1
51,Carmen Zaoui,"Bush  Vale, 4967",5-650-582-8720,BKwa36djHH,Carmen_Zaoui3820@atink.com,3,5/9/1982,2,TRUE,10/28/2022,2
52,Sebastian Scott,"Hickory   Street, 5812",2-704-565-0403,8PAXLgCzsN,Sebastian_Scott9821@dionrab.com,4,1/14/2000,1,TRUE,7/4/2022,1
53,Leroy Coates,"Timothy  Lane, 5493",2-577-860-7286,judWTwg20d,Leroy_Coates826@corti.com,2,11/17/2009,0,FALSE,12/6/2022,1
54,Catherine Goldsmith,"Fieldstone Rue, 8174",7-315-465-7544,uzDEPFcF3D,Catherine_Goldsmith7742@iatim.tech,1,4/17/1974,0,TRUE,5/27/2022,0
55,Miley Daniells,"Apsley    Crossroad, 761",3-756-518-0115,uIvuAv9hjP,Miley_Daniells1303@brety.org,6,12/11/1990,0,TRUE,7/21/2022,1
