ID,Name,Address,Phone,WeChat,Email,Profession,Birth,Risk,hasDDL,Deadline,Treatment
1,Clint Clark,"Caxton  Hill, 3423",6-842-116-5417,WqhFQLZO7i,Clint_Clark5098@brety.org,4,6/25/1994,2,TRUE,5/17/2022,1
2,Danielle Everett,"Bocking   Grove, 2868",2-765-586-1412,irlwMO40js,Danielle_Everett9577@muall.tech,2,9/3/1972,1,TRUE,5/13/2022,2
3,Julius Whinter,"Pine Road, 5176",7-227-647-8873,Sl2iSNUlPF,Julius_Whinter7806@muall.tech,0,5/10/1973,2,TRUE,8/9/2022,2
4,Ivette Upsdell,"Bacton   Rue, 5477",4-885-061-0334,ccwaFnIvJ4,Ivette_Upsdell349@fuliss.net,6,5/4/1992,0,FALSE,9/14/2022,0
5,Chester Radcliffe,"Chambers  Road, 3173",3-434-586-0857,kDgne5BOzU,Chester_Radcliffe8611@bulaffy.com,1,6/18/2014,0,FALSE,6/23/2022,0
6,Domenic Atkinson,"Enford   Tunnel, 4742",4-235-282-1322,0uK9klHnhJ,Domenic_Atkinson2860@yahoo.com,4,7/3/1990,2,FALSE,11/19/2022,1
7,Rosalee Woodcock,"Longmoore   Lane, 8830",6-587-037-8417,h3tTPRuKLf,Rosalee_Woodcock7184@ubusive.com,1,8/5/1991,2,TRUE,5/24/2022,1
8,Erica Swan,"Fieldstone Way, 133",2-416-424-0406,tKuXCTyYNR,Erica_Swan8937@deons.tech,3,3/25/1971,2,FALSE,12/19/2022,2
9,Ronald Abbey,"Cadogan  Pass, 1206",2-047-230-4361,eyXsXarp57,Ronald_Abbey3510@famism.biz,4,7/29/1974,2,TRUE,8/25/2022,1
10,Elijah Stone ,"Blenkarne  Vale, 6661",3-761-542-6345,17wK8B3unv,Elijah_Stone 1069@vetan.org,6,10/14/1983,1,TRUE,5/7/2022,0
11,Leilani Norton,"Edwin   Road, 6293",3-752-756-2181,beg3TQv7FD,Leilani_Norton7033@twipet.com,6,8/24/1996,0,FALSE,8/7/2022,2
12,Anthony Amstead,"Emily  Street, 6534",7-035-256-8017,x26jrgnwYQ,Anthony_Amstead7467@yahoo.com,0,2/7/1996,0,TRUE,11/3/2022,1
13,Tom Morrow,"Chesterfield  Way, 9310",6-370-252-8443,4gyXDEYFU9,Tom_Morrow3008@deavo.com,1,12/13/1992,1,TRUE,8/10/2022,0
14,Carter Mould,"Boleyn  Pass, 9009",6-576-473-6817,2kP5amqmYW,Carter_Mould7445@eirey.tech,6,1/12/1977,0,TRUE,6/11/2022,2
15,Bryon Partridge,"Bond Rue, 5782",4-453-642-7822,MUVh5Z5k5A,Bryon_Partridge7399@vetan.org,3,9/6/1972,1,TRUE,12/21/2022,0
16,Liam Drake,"Bempton   Vale, 6028",3-068-187-2568,hYsjs2LYAS,Liam_Drake8449@gembat.biz,2,10/17/1984,1,FALSE,11/21/2022,0
17,Greta Roberts,"Marina  Boulevard, 841",8-867-632-2418,4aITe0amdx,Greta_Roberts5058@guentu.biz,6,9/20/2016,0,FALSE,10/25/2022,1
18,Erin Dowson,"Bel   Rue, 8576",3-771-581-5600,jEzRcDu7Up,Erin_Dowson8479@nanoff.biz,5,9/27/1995,0,FALSE,8/5/2022,1
19,Helen Graham,"Paris   Boulevard, 9607",1-060-410-0052,UXULjq6r03,Helen_Graham534@gompie.com,5,1/6/2007,2,TRUE,11/1/2022,0
20,Ryan Ross,"Camley   Boulevard, 3384",6-804-601-3542,uAdDHgAT5V,Ryan_Ross7987@jiman.org,4,10/5/2013,0,FALSE,8/16/2022,1
21,Noah Wilkinson,"Antrobus   Road, 6511",4-362-003-8800,IzY94taouJ,Noah_Wilkinson7286@jiman.org,6,3/26/1972,1,TRUE,6/8/2022,1
22,Doug Duvall,"Thomas  Hill, 8359",5-831-426-2321,gaRfuGuPY2,Doug_Duvall7068@vetan.org,5,7/8/2016,2,FALSE,11/21/2022,2
23,Alexia Whittle,"Elystan  Grove, 7321",0-820-850-6167,TtL71VoO6I,Alexia_Whittle5488@twipet.com,2,9/20/1990,0,TRUE,8/23/2022,0
24,Ramon Tate,"Blake  Walk, 2638",5-482-140-6727,m5dkcl7si7,Ramon_Tate3925@gompie.com,5,10/28/1981,2,FALSE,8/17/2022,2
25,Phillip Hopkins,"Heritage Vale, 8796",3-867-470-7883,cxPTM4JBQg,Phillip_Hopkins8047@guentu.biz,6,5/24/2015,0,TRUE,12/6/2022,0
26,Cassandra Townend,"Bethwin  Route, 3853",7-127-580-5516,ZB4VkG35fE,Cassandra_Townend601@deavo.com,6,7/23/1971,0,FALSE,9/19/2022,2
27,Jasmine Nelson,"Blanchard  Tunnel, 8856",8-128-144-8457,t10TzZTzwT,Jasmine_Nelson1018@cispeto.com,2,1/7/1999,1,FALSE,5/21/2022,2
28,Vicky Bingham,"Spruce Walk, 5328",2-744-472-8248,MMejyoAbk2,Vicky_Bingham1472@acrit.org,3,11/7/1994,0,FALSE,5/19/2022,0
29,Jacqueline Gosling,"Wake  Walk, 7122",3-508-877-1472,uRMoIZ8Drt,Jacqueline_Gosling4411@nimogy.biz,6,8/20/1994,2,TRUE,6/17/2022,0
30,Barry Webster,"Adelaide  Avenue, 5949",8-834-123-2531,o5H838LfsM,Barry_Webster9863@atink.com,2,10/18/2000,2,FALSE,5/16/2022,1
31,Cristal Allington,"Bazely   Rue, 1425",7-325-846-0632,31yY4z62nv,Cristal_Allington8775@gmail.com,1,3/30/1985,0,FALSE,11/17/2022,2
32,Rocco Wallace,"Cavendish Avenue, 455",7-475-111-5078,IVEX89BV0U,Rocco_Wallace2867@brety.org,3,8/20/1997,2,TRUE,6/12/2022,0
33,Leroy Gregory,"Berry  Road, 1226",8-533-263-3887,sKorgvQEpu,Leroy_Gregory6845@nimogy.biz,3,1/25/2007,0,FALSE,12/4/2022,1
34,Shelby Eyres,"Tilloch   Street, 8499",1-840-641-6124,yrXWM24tq8,Shelby_Eyres8634@nanoff.biz,6,2/12/2022,2,TRUE,10/3/2022,2
35,Joseph Shaw,"Cadogan  Pass, 2561",4-838-504-5768,7jh2QznDIs,Joseph_Shaw2031@dionrab.com,1,11/2/2004,2,TRUE,5/8/2022,1
36,William Ellison,"Baylis  Tunnel, 9169",0-108-068-4328,hjlhQ0NQlT,William_Ellison481@sheye.org,1,7/27/2007,0,FALSE,11/11/2022,2
37,Ruth Farrow,"Blackheath  Vale, 9939",1-214-645-5881,P7nlBW0OY2,Ruth_Farrow7965@tonsy.org,3,6/23/1995,1,FALSE,6/6/2022,1
38,Alison Mann,"Baylis  Hill, 2327",8-213-545-6401,Q3uHUEoDVV,Alison_Mann2175@fuliss.net,6,8/4/2012,0,FALSE,5/30/2022,0
39,Margaret Welsch,"Chart   Crossroad, 9415",6-384-677-3118,QKN3wOMhMX,Margaret_Welsch9538@vetan.org,6,2/16/2017,1,TRUE,10/20/2022,2
40,Ellen Flett,"Fairfield  Street, 9324",5-740-578-0053,ZSmjtu4no3,Ellen_Flett9295@extex.org,4,10/6/1992,1,TRUE,8/22/2022,2
41,Meredith Hobbs,"Caldwell   Grove, 430",1-876-028-1482,Y0iBr0zjyZ,Meredith_Hobbs8904@cispeto.com,1,2/8/1978,0,TRUE,7/15/2022,2
42,Aileen Johnson,"Belmore  Way, 1481",7-245-608-3576,kBmnPYkja1,Aileen_Johnson2436@atink.com,3,9/25/2001,0,TRUE,9/14/2022,1
43,Cara Gray,"Wadham  Avenue, 929",6-811-361-7825,iqLRjG9BlJ,Cara_Gray6745@joiniaa.com,3,9/11/1986,1,TRUE,11/30/2022,2
44,Jackeline Campbell,"Thomas  Vale, 8946",8-027-308-0130,X036Cjk0OV,Jackeline_Campbell5085@eirey.tech,3,3/27/1990,1,TRUE,8/18/2022,2
45,Aeris Franks,"Fawn Alley, 3159",1-241-345-1462,hH5icwyYVg,Aeris_Franks6785@gompie.com,5,12/6/2020,0,TRUE,10/9/2022,0
46,Ronald Hamilton,"Blore  Road, 8937",3-267-080-8512,iOuwhurNf6,Ronald_Hamilton9519@bulaffy.com,4,12/11/1970,2,FALSE,8/8/2022,0
47,Peyton Noach,"Angrave    Rue, 716",8-510-406-6642,Vzi7dY9vr0,Peyton_Noach4063@extex.org,0,3/3/2010,2,TRUE,9/8/2022,0
48,Jayden Harper,"Bacton   Vale, 9219",5-273-208-1437,AB7OfoFT6R,Jayden_Harper9786@guentu.biz,1,3/25/2020,2,TRUE,10/7/2022,1
49,Evie Radley,"Carnegie   Pass, 7061",6-513-648-0805,tfOnpbob9u,Evie_Radley2328@liret.org,6,12/1/2010,2,TRUE,12/20/2022,1
50,Kamila Slater,"Bayberry Grove, 4387",3-268-080-5130,3Ju7bWTmbU,Kamila_Slater7594@atink.com,1,12/21/1975,2,FALSE,12/3/2022,1
51,Claire Weasley,"Collins  Crossroad, 8612",1-584-508-5572,c1BHlGhweh,Claire_Weasley1668@iatim.tech,1,11/11/1995,0,TRUE,12/20/2022,0
52,Winnie Wise,"Clere  Hill, 555",5-721-530-1803,6iVUC8qCfW,Winnie_Wise7731@irrepsy.com,1,12/1/2015,2,TRUE,11/12/2022,2
53,Boris Santos,"Cleveland  Rue, 749",0-420-004-1316,GkDr1TEOSb,Boris_Santos9685@supunk.biz,3,6/30/1982,1,TRUE,5/31/2022,0
54,Rocco Donnelly,"Andrews  Alley, 8637",7-765-568-8083,0QWnEJvzNC,Rocco_Donnelly6352@muall.tech,5,1/15/1973,1,TRUE,7/25/2022,0
55,Liliana Cann,"Tiptree   Crossroad, 5415",8-074-121-5236,vj0yNL0iYm,Liliana_Cann2698@bretoux.com,1,9/4/2002,2,FALSE,11/9/2022,1
56,Priscilla Whatson,"Aylward   Rue, 7799",0-321-153-1523,bNb5sto3pb,Priscilla_Whatson3002@bauros.biz,2,4/14/2001,1,TRUE,7/31/2022,1
57,Dorothy Morrison,"Chestnut  Drive, 345",1-635-531-4342,LN9Uwo9l3v,Dorothy_Morrison628@grannar.com,5,4/24/2015,0,TRUE,10/31/2022,0
58,Enoch Alcroft,"Cavaye  Pass, 2530",1-280-517-1344,7fDQGGmxOE,Enoch_Alcroft6958@gmail.com,4,11/18/2009,1,FALSE,11/15/2022,2
59,Isabel Saunders,"Archery  Vale, 6809",4-005-171-5535,VRdKc6PU8q,Isabel_Saunders4907@nimogy.biz,6,10/3/2007,0,FALSE,12/17/2022,0
60,Ramon Trent,"Angrave    Avenue, 9790",4-760-842-7124,4HI9BZJ1KG,Ramon_Trent9503@acrit.org,5,12/20/1993,2,FALSE,11/7/2022,0
61,Rosa Collingwood,"Caroline  Drive, 2530",6-788-204-3165,g5U2ig8n2m,Rosa_Collingwood1052@yahoo.com,6,4/23/1997,1,FALSE,7/11/2022,1
62,Analise Horton,"Collins  Grove, 4212",4-400-522-3482,u7Fnl09d92,Analise_Horton7676@nimogy.biz,6,2/13/1990,2,TRUE,9/22/2022,2
63,Rachael Russell,"Thoresby   Route, 2667",0-626-747-0873,71birxEsz4,Rachael_Russell9077@womeona.net,5,3/20/1987,2,TRUE,9/11/2022,2
64,Percy Weasley,"Lincoln Alley, 8472",8-230-252-0562,8NiWMOcZrT,Percy_Weasley889@joiniaa.com,3,10/18/1985,1,TRUE,6/25/2022,1
65,Anabelle Fox,"Vine  Hill, 7060",7-108-156-0768,BgZg011tzQ,Anabelle_Fox6522@womeona.net,1,11/18/1994,1,TRUE,10/2/2022,0
