ID,Name,Address,Phone,WeChat,Email,Profession,Birth,Risk,hasDDL,Deadline,Treatment
1,Janice Lee,"Falconberg   Alley, 1499",8-155-772-3483,iRgK5BefIh,Janice_Lee3528@bauros.biz,5,11/19/1970,0,FALSE,9/18/2022,2
2,Aileen Vincent,"South Walk, 374",2-148-077-0162,JY8lhcyhTz,Aileen_Vincent6538@deons.tech,3,3/28/1987,1,FALSE,5/5/2022,2
3,Chadwick Harvey,"Amwell    Walk, 2150",6-845-634-6844,FTcMnF9jb3,Chadwick_Harvey968@womeona.net,6,1/15/2005,0,FALSE,10/17/2022,2
4,Celia Eastwood,"Andsell    Walk, 9060",1-260-587-2212,1QUTpXf5j8,Celia_Eastwood5309@womeona.net,5,9/10/2010,2,FALSE,8/22/2022,1
5,Evelynn Jones,"Parkfield  Boulevard, 7402",2-158-873-6074,piP5lrAPt2,Evelynn_Jones8616@ubusive.com,6,1/14/2009,0,FALSE,7/14/2022,2
6,Courtney Vollans,"Geary   Walk, 9406",5-380-670-8668,VPk1Z1qKRJ,Courtney_Vollans7399@nickia.com,2,6/25/2000,2,FALSE,10/25/2022,0
7,Clint Thomas,"Blackwall  Street, 9480",5-672-685-5278,MbexzqnbFS,Clint_Thomas6818@infotech44.tech,4,7/14/2021,1,TRUE,9/8/2022,1
8,Nathan Thomas,"Adelaide  Way, 6309",0-800-245-6427,O1In6yQTy0,Nathan_Thomas6971@atink.com,6,2/15/1988,2,FALSE,12/19/2022,2
9,Domenic Matthews,"Blackall   Boulevard, 4519",2-330-426-2565,lDzxUvEt3x,Domenic_Matthews4299@bungar.biz,0,10/3/1989,0,TRUE,7/15/2022,2
10,Claire Nanton,"Coborn  Grove, 476",5-351-732-1065,jJboybSs9D,Claire_Nanton6340@eirey.tech,2,5/7/1990,0,FALSE,5/10/2022,1
11,Chadwick May,"Bethwin  Tunnel, 292",2-002-566-4160,9Ub9BKSuLp,Chadwick_May574@bungar.biz,4,6/27/2006,0,TRUE,5/2/2022,1
12,Kieth Russell,"Beaconsfield  Pass, 6488",7-184-203-1621,fCFWNIUnrx,Kieth_Russell2874@jiman.org,6,6/3/2009,2,FALSE,8/12/2022,0
13,Alessia Glass,"Union  Grove, 6584",4-678-045-8247,QSA0l6Et1D,Alessia_Glass7303@irrepsy.com,4,12/15/2011,2,FALSE,6/6/2022,2
14,Bart Payne,"Arthur  Walk, 2603",7-021-118-5264,9rjlySEKJi,Bart_Payne6737@sveldo.biz,2,7/17/1988,2,FALSE,5/23/2022,2
15,Elle Goodman,"Capeners  Hill, 6358",0-360-310-2336,bHorG7319x,Elle_Goodman6220@brety.org,3,6/7/2001,1,FALSE,8/6/2022,0
16,Crystal Simpson,"Chatsworth  Road, 1997",1-084-054-5680,fXk0XmPfia,Crystal_Simpson8003@hourpy.biz,5,12/7/2019,1,TRUE,5/31/2022,0
17,Matthew Atkinson,"Baltic  Route, 9451",2-034-586-8665,tfcvUNOgVr,Matthew_Atkinson9699@sveldo.biz,1,2/15/2015,2,TRUE,10/23/2022,2
18,Johnny Thornton,"Camdale  Vale, 639",0-076-833-3844,atCOU9KngQ,Johnny_Thornton9521@atink.com,4,11/23/1972,0,FALSE,12/22/2022,1
19,Ilona Dowson,"Chalcot  Route, 4757",5-171-525-7282,LrkxF3Qprf,Ilona_Dowson4849@gembat.biz,3,10/14/1999,2,FALSE,6/28/2022,1
20,Miley Ross,"Church Road, 7660",5-052-161-4626,zso7J8Wm67,Miley_Ross3789@deons.tech,5,2/20/2005,2,TRUE,12/18/2022,2
21,Chad Egerton,"Chester      Boulevard, 7960",4-754-738-1160,vUFxM83nXX,Chad_Egerton6320@typill.biz,6,12/9/1984,1,FALSE,7/13/2022,2
22,Marvin Irwin,"Bacon  Lane, 2584",7-238-515-1084,7R7ZzAnMAz,Marvin_Irwin789@vetan.org,4,8/18/1992,1,TRUE,8/8/2022,2
23,Charlize Wright,"Chart   Boulevard, 1003",1-365-037-0351,JY3aunqhlb,Charlize_Wright978@grannar.com,3,5/4/1997,1,TRUE,9/12/2022,2
24,Christine Shepherd,"Maple Way, 869",1-508-428-0874,jSuoH3QF6X,Christine_Shepherd8974@nickia.com,1,7/24/1975,0,TRUE,8/3/2022,0
25,Hayden Baker,"Carnegie   Lane, 2760",1-785-787-4464,G4prU960jX,Hayden_Baker6633@fuliss.net,6,4/3/1991,1,FALSE,5/27/2022,2
26,Bob Stubbs,"Cavell   Route, 1353",0-273-426-3607,EuV3d0CM5d,Bob_Stubbs259@nanoff.biz,4,5/3/1999,2,FALSE,8/2/2022,0
27,Regina Shaw,"Castle Route, 1231",1-002-004-0826,31apDJQ1Tg,Regina_Shaw6137@grannar.com,4,1/22/2005,2,TRUE,10/10/2022,2
28,Nathan Ward,"Mariner   Hill, 5276",5-614-440-1048,irEkfhgnKh,Nathan_Ward5104@nanoff.biz,0,9/14/2004,1,FALSE,6/1/2022,1
29,Hayden Goodman,"Cloth  Alley, 1830",7-383-815-5427,YNW9JjJ1EP,Hayden_Goodman2692@cispeto.com,5,7/13/1986,1,FALSE,5/26/2022,1
30,Maxwell Freeburn,"Sheraton   Alley, 5527",7-523-360-3341,QJA6izOFVR,Maxwell_Freeburn2042@atink.com,4,7/6/1979,0,TRUE,10/2/2022,2
31,Rosie Beal,"Byland  Boulevard, 5872",4-408-573-3473,RqvQnfmKHv,Rosie_Beal3112@gmail.com,3,4/7/2015,2,TRUE,9/21/2022,1
32,Alexander Gilbert,"Epworth  Alley, 3430",8-421-331-2050,VAMzOEcDLm,Alexander_Gilbert5480@iatim.tech,1,9/3/1980,2,FALSE,8/17/2022,1
33,Rihanna Pierce,"Oxford Vale, 5145",2-861-225-6656,tK4tY4EAt8,Rihanna_Pierce9481@bretoux.com,4,3/14/1978,0,FALSE,6/7/2022,0
34,Mason Rehman,"Archery  Lane, 9694",0-543-661-5072,AJYhTnJBfY,Mason_Rehman4583@nickia.com,0,11/26/1991,2,FALSE,9/30/2022,1
35,Ciara Poole,"Littlebury  Drive, 4519",5-102-316-8050,maXjl9c8zS,Ciara_Poole4972@iatim.tech,0,2/10/1978,2,FALSE,12/3/2022,0
36,Hank Jarvis,"Camelot   Pass, 2773",0-453-000-7402,86HJKjEFfT,Hank_Jarvis6665@liret.org,5,6/24/2007,1,TRUE,6/28/2022,1
37,Alexander Eyres,"Bales  Drive, 1528",7-055-887-0365,RUM7YPzpuj,Alexander_Eyres1625@jiman.org,0,8/28/2013,1,TRUE,7/8/2022,1
38,Josephine Rodgers,"Clifton  Lane, 7993",4-347-682-4635,DkOknvhyIr,Josephine_Rodgers5299@deavo.com,0,11/1/1990,1,TRUE,7/28/2022,2
39,Elijah Vane,"Jackson Boulevard, 8787",4-648-626-7304,evuG9pVcdv,Elijah_Vane8322@famism.biz,0,8/8/1970,0,TRUE,12/11/2022,1
40,Estrella Raven,"Spruce Route, 1697",5-203-178-1624,W71Grlc8xH,Estrella_Raven9893@qater.org,6,2/12/1978,0,FALSE,12/25/2022,0
41,Russel Gallacher,"Bedford  Lane, 1370",0-886-743-3783,iujCjcDQ8k,Russel_Gallacher584@famism.biz,4,5/12/1983,2,TRUE,12/8/2022,1
42,Barry Utterson,"Antrobus   Vale, 6024",7-802-531-3228,uX6h81QgPJ,Barry_Utterson7220@supunk.biz,1,5/10/2021,2,TRUE,9/14/2022,1
43,Caydence Vaughn,"Cheney  Alley, 8267",3-835-515-5273,uj2bEg0RLb,Caydence_Vaughn2865@mafthy.com,2,11/11/2009,2,TRUE,12/13/2022,2
