ID,Name,Address,Phone,WeChat,Email,Profession,Birth,Risk,hasDDL,Deadline
1,Sofie Yang,"Cheney  Way, 2268",4-703-165-8030,M4FfFidT3L,Sofie_Yang8655@nickia.com,0,8/31/2005,1,False,8/14/2022
2,Barney Moss,"Ampton  Street, 7078",1-353-601-1715,8ctCpM3pxg,Barney_Moss7300@elnee.tech,4,6/13/2021,2,False,12/2/2022
3,Erick Newton,"Zealand Grove, 6133",1-002-743-8668,T5YLZ64Xck,Erick_Newton9283@supunk.biz,3,10/2/1985,2,True,8/9/2022
4,Russel Groves,"Angel  Lane, 5270",7-440-450-8327,W4ABQpjBLv,Russel_Groves4990@extex.org,3,7/30/1983,2,False,10/27/2022
5,Henry Woodley,"Sundown Drive, 7373",5-736-300-3037,GFrvWgEygp,Henry_Woodley1713@deons.tech,4,11/15/2000,1,True,11/26/2022
6,Chuck Glass,"Lincoln Alley, 2057",8-474-856-2025,UebEZrtETs,Chuck_Glass9443@extex.org,0,11/8/1994,0,False,7/11/2022
7,Ethan Curtis,"Cobden  Pass, 9651",2-081-347-1112,VOveCfw8gG,Ethan_Curtis9373@liret.org,2,8/27/2018,2,False,5/22/2022
8,Danny Saunders,"Cheney  Rue, 9422",4-358-488-2146,hoO0XwoQCM,Danny_Saunders9845@eirey.tech,2,5/28/1975,2,False,5/13/2022
9,Angelina Murray,"Camdale  Walk, 9811",3-063-143-6258,UfntiGPxSj,Angelina_Murray8361@irrepsy.com,2,5/9/1994,0,False,5/4/2022
10,Percy Everett,"Durweston   Alley, 5612",7-571-761-4235,GheZila4QG,Percy_Everett7750@corti.com,1,4/30/2002,2,True,7/23/2022
11,Eduardo Beal,"Belgrave  Grove, 7521",6-827-488-3704,x70cCJsfYO,Eduardo_Beal9948@corti.com,4,12/18/1973,0,True,9/21/2022
12,Marvin Dillon,"Blendon    Rue, 7062",5-138-042-2646,P0EgtcnvC6,Marvin_Dillon5903@gmail.com,2,1/8/1996,0,False,9/20/2022
13,Percy Funnell,"Elba  Hill, 5275",1-545-633-8576,z3nu9u6Y0s,Percy_Funnell4597@extex.org,3,1/10/2015,0,True,5/20/2022
14,Parker Cox,"Fairbairn  Rue, 1632",7-814-565-3073,sMtxqpEraG,Parker_Cox3471@muall.tech,1,11/7/2007,2,True,12/13/2022
15,Harriet Rothwell,"Blake  Crossroad, 1031",5-703-035-2315,9GQDfQ4vx8,Harriet_Rothwell9585@iatim.tech,3,6/17/2017,2,True,8/4/2022
16,Zara Denton,"Thomas More   Street, 3593",1-424-787-8144,XtCHrNbfm2,Zara_Denton6981@gompie.com,3,3/31/2012,1,False,6/12/2022
17,Caleb Reese,"Battersea   Pass, 9683",5-472-403-1400,3uldc2xtZK,Caleb_Reese3321@irrepsy.com,2,1/23/1986,1,True,12/22/2022
18,Chadwick Waterson,"Bletchley   Drive, 7994",0-503-622-0815,5VSxOCZ65U,Chadwick_Waterson1254@naiker.biz,6,5/18/1976,1,True,9/12/2022
19,Oliver Clarke,"Cavell   Way, 204",2-531-807-4672,eXDd2wJR0I,Oliver_Clarke524@grannar.com,5,3/4/2003,2,False,12/17/2022
20,Matthew Davies,"Carlton  Lane, 923",1-646-701-6447,Iwv2NBij14,Matthew_Davies3709@gompie.com,3,10/16/2014,1,False,6/2/2022
21,Marissa Morgan,"Camera  Road, 5800",8-383-371-0046,MAELvI53bW,Marissa_Morgan7424@gmail.com,5,9/25/1990,0,False,10/2/2022
22,Renee Shields,"Westcott  Street, 430",1-538-081-1082,o4kNK8M7t4,Renee_Shields6035@fuliss.net,4,11/8/2012,0,True,7/21/2022
23,Fred Watt,"Camelot   Pass, 4578",4-650-182-8675,OPbIhnxHfQ,Fred_Watt1605@famism.biz,2,9/5/2002,0,False,11/15/2022
24,Ethan Stevens,"Cable    Grove, 8473",1-622-006-2660,iTOMRqLcvD,Ethan_Stevens2637@muall.tech,1,3/9/2021,0,True,9/4/2022
25,Clint Dallas,"Aspen Boulevard, 5182",6-534-322-2284,zcqx4G7VBV,Clint_Dallas9158@twace.org,5,7/1/1982,2,False,7/30/2022
26,Lucas Brooks,"Angel  Crossroad, 7183",7-441-462-5433,6YUKwgjREC,Lucas_Brooks2117@bretoux.com,4,9/6/2002,1,False,12/27/2022
27,Morgan Partridge,"Canal  Tunnel, 5583",0-554-235-4628,WzwpjNzh6p,Morgan_Partridge7244@yahoo.com,0,8/23/1992,0,True,7/19/2022
28,Peter Funnell,"Edwin   Boulevard, 2051",8-463-451-3865,mZV2XhdD1k,Peter_Funnell8065@joiniaa.com,2,1/21/2020,2,True,12/10/2022
29,Doris Wilkinson,"Longman   Hill, 8067",2-473-761-8758,LwdmIGXXKh,Doris_Wilkinson743@womeona.net,5,7/30/2009,1,False,8/11/2022
30,Aurelia Powell,"York Way, 2612",1-121-265-0670,jTZQK8Epli,Aurelia_Powell726@mafthy.com,0,11/8/1978,2,True,6/7/2022
31,Alma Ingram,"East Avenue, 230",5-134-574-4840,4T9rGiGDJb,Alma_Ingram839@atink.com,1,8/16/2006,1,False,7/23/2022
32,Chad Hunter,"Railroad Avenue, 3240",5-743-327-7377,tPVke7LwqD,Chad_Hunter3190@famism.biz,0,6/23/1975,2,True,8/5/2022
