ID,Name,Address,Phone,WeChat,Email,Profession,Birth,Risk,hasDDL,Deadline
1,Mark Norburn,"Duthie   Rue, 9197",8-350-016-2487,DvmhTeDWxe,Mark_Norburn2570@gmail.com,4,9/3/2013,1,True,11/22/2022
2,Rocco Little,"Rivervalley Drive, 4361",0-626-016-2527,c80at88R7B,Rocco_Little2748@nimogy.biz,5,1/24/1978,1,True,5/19/2022
3,Mike Strong,"Tilson  Rue, 7123",3-773-738-7237,QIAZxAggAt,Mike_Strong7197@sheye.org,6,10/10/1980,0,False,11/12/2022
4,Daphne Gordon,"Glenwood Lane, 7787",0-560-778-0487,ZJn8mG2II9,Daphne_Gordon8402@nimogy.biz,4,9/15/2000,1,False,7/14/2022
5,Cara Nurton,"Virginia Road, 3930",6-241-731-6580,mNxwQ29gQ2,Cara_Nurton3801@nickia.com,1,7/3/2002,2,False,9/20/2022
6,Julius Bolton,"Rosewood Walk, 1978",4-283-163-7852,CIwfYnQjti,Julius_Bolton7111@ovock.tech,5,9/22/1991,1,True,12/22/2022
7,Catherine Warner,"Geffrye   Alley, 9365",6-030-442-0280,C6FnuSN8j3,Catherine_Warner9717@acrit.org,6,1/4/2005,2,False,12/29/2022
8,Evie Marshall,"Howard Street, 8789",2-624-083-0603,KSgCsrjbnp,Evie_Marshall4891@deons.tech,2,6/27/2021,0,False,8/25/2022
9,Rylee Warden,"Chantry   Walk, 7416",4-718-470-5527,rYkNyo0dVE,Rylee_Warden1348@yahoo.com,3,5/13/2000,0,False,12/25/2022
10,Liam Thornton,"Coley  Crossroad, 1583",5-166-270-3734,3ZdpUvjUlp,Liam_Thornton8567@supunk.biz,4,11/16/1987,1,False,8/22/2022
11,Michaela Lynn,"Tilloch   Tunnel, 8026",7-627-303-2070,x1QexyAYUz,Michaela_Lynn3546@fuliss.net,3,10/1/2020,2,False,12/9/2022
12,Lindsay Lloyd,"Charterhouse  Boulevard, 2551",5-665-265-6780,Z458etv1VL,Lindsay_Lloyd3193@corti.com,1,6/3/2018,1,True,6/29/2022
13,Marvin Button,"Camelot   Boulevard, 2983",3-127-644-3421,wr7EPLbokM,Marvin_Button2710@gembat.biz,1,8/21/2004,0,True,11/15/2022
14,Ronald Vaughn,"Collins  Avenue, 4244",0-072-344-6048,OwsGJ7CN5w,Ronald_Vaughn7705@liret.org,4,9/28/1993,0,True,6/20/2022
15,Livia Connell,"Wake  Crossroad, 1962",2-865-754-6460,AZinU0FwhJ,Livia_Connell3930@nimogy.biz,6,1/19/1986,0,False,10/13/2022
16,Erick Richardson,"Ampton  Walk, 8739",2-562-011-3512,YMSC2StUfT,Erick_Richardson9867@corti.com,3,10/18/1974,2,True,7/8/2022
17,Destiny Haines,"Fieldstone Drive, 1074",1-780-627-8864,UPTiVFNL8Y,Destiny_Haines7784@corti.com,5,5/4/2015,0,True,6/14/2022
18,Hope Hastings,"West Pass, 8024",2-831-288-8374,eO8saXMOrK,Hope_Hastings4951@typill.biz,3,2/2/2000,2,True,7/15/2022
19,Chris Murray,"Lincoln Grove, 9136",0-181-865-7470,zJDnwF5kqZ,Chris_Murray9747@infotech44.tech,1,6/23/1999,0,False,5/17/2022
20,Angela Garner,"Canning  Avenue, 8864",8-640-044-3683,atufCMrnNo,Angela_Garner7755@womeona.net,2,10/31/2012,1,True,6/24/2022
21,Phillip Edmonds,"Spruce Street, 812",2-513-753-0757,07RONNNRDZ,Phillip_Edmonds7031@fuliss.net,0,10/10/2006,0,True,9/19/2022
22,Agnes Davies,"Westbourne Grove, 1768",5-006-734-1443,PjIphmBn3o,Agnes_Davies3120@bungar.biz,6,11/14/1972,0,True,9/16/2022
